t,Marker,v,V'O2,V'O2/kg,V'CO2,HF,V'E/V'O2,RER,AF,V'E,W,EU/kg,EU,EUKH,EUFett,V'O2_filtered
0 days 00:04:33,,-,2.85213539322888,38.4384823885294,2.75362606144011,-,28.77352533643,0.965461200747119,33.51,86.89143,38.5056589889679,11.4581259887619,850.192948366134,729.108192036483,44.1934678365147,2.947132735112488
0 days 00:04:34,,-,3.17049496357451,42.729042635775,3.05357473830678,-,30.0026813140732,0.963122406245393,41.09,101.04031,38.754930381417,12.7299336559033,944.561077268025,803.013568583725,56.0735008623015,3.1162229280812714
0 days 00:04:35,,-,3.31945108845994,44.7365375803227,3.18582478943112,-,30.587972919073,0.959744459108503,40.81,107.41192,39.0233603168701,13.3171759837482,988.13445799412,829.431597219599,69.2131149905113,3.268307784677156
0 days 00:04:36,,-,3.3194454369753,44.7364614147614,3.18581941883537,-,30.5880249962836,0.959744475191107,40.81,107.41192,39.2978418776314,13.3171533623647,988.13277948746,829.430238925904,69.2129471370514,3.2720546971804385
0 days 00:04:37,,-,3.01949738197257,40.694034797474,2.94638052120292,-,29.383704893971,0.975785088867376,33.89,93.60418,39.5604043440869,12.1606061858725,902.316978991736,803.33234138379,17.5814037878713,3.142534962526788
0 days 00:04:38,,-,3.01949738197257,40.694034797474,2.94638052120292,-,29.383704893971,0.975785088867376,33.89,93.60418,39.8110479493624,12.1606061858725,902.316978991736,803.33234138379,17.5814037878713,2.9929980565431173
0 days 00:04:39,,-,2.92181585330432,39.3775721469585,2.85549646144011,-,28.5116736243964,0.977301994651987,33.51,88.1313,40.0576814981243,11.7714901899453,873.444572093943,781.814477351388,12.8602767901534,2.905652372135402
0 days 00:04:40,,-,2.92181585330432,39.3775721469585,2.85549646144011,-,28.5116736243964,0.977301994651987,33.51,88.1313,40.3003049903726,11.7714901899453,873.444572093943,781.814477351388,12.8602767901534,2.8855812958792315
0 days 00:04:41,,-,2.89633700352515,39.0341914221718,2.79609945053162,-,27.9226899016131,0.96539161262259,31.74,85.44408,40.5415270911894,11.6355061157238,863.354553786705,740.204430406224,45.0671948350459,2.9086996405283547
0 days 00:04:42,,-,2.89633700352515,39.0341914221718,2.79609945053162,-,27.9226899016131,0.96539161262259,31.74,85.44408,40.7813478005745,11.6355061157238,863.354553786705,740.204430406224,45.0671948350459,2.9592156900386386
0 days 00:04:43,,-,3.06685126989369,41.3322273570578,2.91677168427533,-,27.4172310947817,0.951063950478577,31.41,88.60761,41.0277903412725,12.2780557848859,911.031739238537,739.464209428378,88.8876730548415,3.0165720337176083
0 days 00:04:44,,-,3.06685126989369,41.3322273570578,2.91677168427533,-,27.4172310947817,0.951063950478577,31.41,88.60761,41.2808547132832,12.2780557848859,911.031739238537,739.464209428378,88.8876730548415,3.0462902972703088
0 days 00:04:45,,-,2.9824440682117,40.1946639920714,2.84567088343434,-,28.0457329917856,0.954140570066291,31.41,88.16787,41.530527988099,11.9490005314718,886.615839435207,728.366931532532,77.8446017789427,3.02678763663392
0 days 00:04:46,,-,2.9824440682117,40.1946639920714,2.84567088343434,-,28.0457329917856,0.954140570066291,31.41,88.16787,41.7768101657199,11.9490005314718,886.615839435207,728.366931532532,77.8446017789427,2.9758868723053915
0 days 00:04:47,,-,2.99520964298964,40.3667067788361,2.80448529254201,-,26.3398691255726,0.936323538856779,31.57,83.43951,42.0230879828236,11.9485774085119,886.584443711585,677.660894642757,128.175093261542,2.9389370689035412
0 days 00:04:48,,-,2.8945920885977,39.0106750484865,2.80294226971992,-,28.9668034160282,0.968337570174807,35.71,88.98932,42.2661477432731,11.6367362739185,863.445831524755,748.359000026993,37.0509444628393,2.941982522977108
0 days 00:04:49,,-,2.8945920885977,39.0106750484865,2.80294226971992,-,28.9668034160282,0.968337570174807,35.71,88.98932,42.5059938075855,11.6367362739185,863.445831524755,748.359000026993,37.0509444628393,2.9483375050445026
0 days 00:04:50,,-,2.89417724394241,39.0050841501673,2.81105936733009,-,29.7778514361489,0.971280999881299,37.26,91.54782,42.7459075179946,11.6433003156414,863.93288342059,756.843645998629,29.0645342670683,2.8801554419641406
0 days 00:04:51,,-,2.89417724394241,39.0050841501673,2.81105936733009,-,29.7778514361489,0.971280999881299,37.26,91.54782,42.9858888745003,11.6433003156414,863.93288342059,756.843645998629,29.0645342670683,2.720504783555662
0 days 00:04:52,,-,2.47139387590337,33.3071950930373,2.33214177896556,-,25.1699579765537,0.943654429876374,27.14,66.11304,43.2076619951021,9.87646340851593,732.833584911882,577.421469453744,88.7853136788833,2.582898132969892
0 days 00:04:53,,-,2.47139387590337,33.3071950930373,2.33214177896556,-,25.1699579765537,0.943654429876374,27.14,66.11304,43.4112268797998,9.87646340851593,732.833584911882,577.421469453744,88.7853136788833,2.6179221459840383
0 days 00:04:54,,-,2.99720308234442,40.3935725383345,2.7777337730167,-,26.4482845580134,0.926775295734699,33.14,84.04304,43.6359430153501,11.9288758901667,885.122591050369,649.248340418038,155.072053294791,2.8358026086296424
0 days 00:04:55,,-,2.99720308234442,40.3935725383345,2.7777337730167,-,26.4482845580134,0.926775295734699,33.14,84.04304,43.881810401753,11.9288758901667,885.122591050369,649.248340418038,155.072053294791,3.0773577964487706
0 days 00:04:56,,-,3.36245864767555,45.3161542813416,3.13975025745906,-,27.1320868326714,0.93376620694787,36.58,96.49804,44.1428932476353,13.4053086159324,994.673899302187,752.077632142766,151.947071985005,3.1860131033247114
0 days 00:04:57,,-,3.00832793869295,40.5435032168861,2.83062264622497,-,29.2894464285974,0.94092888272507,38.21,93.6145,44.4048564043554,12.0142968879031,891.460829082407,694.602141135844,115.756573381752,3.159806662841055
0 days 00:04:58,,-,3.00832793869295,40.5435032168861,2.83062264622497,-,29.2894464285974,0.94092888272507,38.21,93.6145,44.6524844124338,12.0142968879031,891.460829082407,694.602141135844,115.756573381752,3.102642129261049
